dataset,distance
Yoga,2.97090015001595
WormsTwoClass,1.1367359012365341
Wine,0.0020061209215782583
Wafer,7.00632312707603
TwoLeadECG,1.1243921611458063
Strawberry,0.06521080760285258
SemgHandGenderCh2,3361.563407897949
BeetleFly,0.6031292676925659
BirdChicken,0.2781521677970886
Computers,3.059987425804138
DistalPhalanxOutlineCorrect,0.06815008912235498
Earthquakes,4.904873371124268
ECG200,0.33249593526124954
ECGFiveDays,2.2579024881124496
FordA,15.223744243383408
FordB,8.137106031179428
HandOutlines,0.9437951743602753
ItalyPowerDemand,1.1355254743248224
MiddlePhalanxOutlineCorrect,0.07573461160063744
Chinatown,48757.635009765625
FreezerRegularTrain,1.7411577093880624
FreezerSmallTrain,5.887290874496102
GunPointAgeSpan,23182.6552734375
GunPointMaleVersusFemale,50327.9677734375
GunPointOldVersusYoung,36488.17858886719
PowerCons,1.2737039774656296
Coffee,0.013230396434664726
Ham,0.418797604739666
Herring,0.044757820665836334
Lightning2,0.8375993371009827
MoteStrain,13.813332334160805
PhalangesOutlinesCorrect,0.13418678485322744
ProximalPhalanxOutlineCorrect,0.034145622281357646
ShapeletSim,5.948936879634857
SonyAIBORobotSurface1,4.285285159945488
SonyAIBORobotSurface2,10.377195954322815
ToeSegmentation1,4.074240058660507
ToeSegmentation2,2.4356459379196167
HouseTwenty,1882411.90625
